ORIGIN;DESTINATION;Rides;O_Lon;O_Lat;D_Lon;D_Lat;Geom
ARMOUR SQUARE;ALBANY PARK;0;-87.6339737;41.84207749;-87.72155978;41.96806847;LINESTRING (-87.6339737 41.84207749, -87.72155978 41.96806847
ARMOUR SQUARE;ARCHER HEIGHTS;0;-87.6339737;41.84207749;-87.72636284;41.81087957;
ARMOUR SQUARE;ARMOUR SQUARE;1;-87.6339737;41.84207749;-87.6339737;41.84207749;
ARMOUR SQUARE;AUSTIN;0;-87.6339737;41.84207749;-87.76311182;41.8941013;
ARMOUR SQUARE;AVONDALE;0;-87.6339737;41.84207749;-87.71121064;41.93866589;
ARMOUR SQUARE;BELMONT CRAGIN;0;-87.6339737;41.84207749;-87.78802248;41.92764196;
ARMOUR SQUARE;BRIDGEPORT;0;-87.6339737;41.84207749;-87.64878825;41.83615066;
ARMOUR SQUARE;BRIGHTON PARK;0;-87.6339737;41.84207749;-87.69886064;41.8173668;
ARMOUR SQUARE;CHICAGO LAWN;0;-87.6339737;41.84207749;-87.69566636;41.77184916;
ARMOUR SQUARE;DUNNING;0;-87.6339737;41.84207749;-87.78151878;41.94935283;
ARMOUR SQUARE;EAST GARFIELD PARK;0;-87.6339737;41.84207749;-87.70589721;41.87891463;
ARMOUR SQUARE;GARFIELD RIDGE;0;-87.6339737;41.84207749;-87.76423968;41.79618561;
ARMOUR SQUARE;HERMOSA;0;-87.6339737;41.84207749;-87.73474016;41.92434776;
ARMOUR SQUARE;HUMBOLDT PARK;0;-87.6339737;41.84207749;-87.72091881;41.90006985;
ARMOUR SQUARE;IRVING PARK;0;-87.6339737;41.84207749;-87.73815125;41.94987713;
ARMOUR SQUARE;JEFFERSON PARK;0;-87.6339737;41.84207749;-87.77116692;41.97882998;
ARMOUR SQUARE;KENWOOD;0;-87.6339737;41.84207749;-87.59618358;41.80891637;
ARMOUR SQUARE;LAKE VIEW;0;-87.6339737;41.84207749;-87.65599893;41.94422687;
ARMOUR SQUARE;LINCOLN PARK;0;-87.6339737;41.84207749;-87.64948972;41.92268612;
ARMOUR SQUARE;LINCOLN SQUARE;0;-87.6339737;41.84207749;-87.68751544;41.97517153;
ARMOUR SQUARE;LOGAN SQUARE;0;-87.6339737;41.84207749;-87.67997294;41.92047802;
ARMOUR SQUARE;LOOP;0;-87.6339737;41.84207749;-87.62519187;41.87886595;
ARMOUR SQUARE;LOWER WEST SIDE;0;-87.6339737;41.84207749;-87.66756823;41.85026617;
ARMOUR SQUARE;MCKINLEY PARK;0;-87.6339737;41.84207749;-87.6725027;41.82992225;
ARMOUR SQUARE;MONTCLARE;0;-87.6339737;41.84207749;-87.79761488;41.92561056;
ARMOUR SQUARE;NEAR NORTH SIDE;0;-87.6339737;41.84207749;-87.63330944;41.89960211;
